date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2023-05-13,30.3,15.3,22.5,0.0,0.0,0.0,13.5,28.4,211,22.54,4.93
2023-05-14,31.7,16.9,24.5,0.0,0.0,0.0,21.0,37.1,194,25.39,6.04
2023-05-15,32.0,19.4,25.7,0.0,0.0,0.0,19.5,36.7,184,25.58,6.53
2023-05-16,29.7,20.8,25.0,1.2,1.2,0.0,23.0,40.7,178,13.85,4.63
2023-05-17,25.2,20.6,22.2,18.6,18.6,0.0,17.1,30.6,102,9.78,2.06
2023-05-18,28.5,19.4,23.4,0.5,0.5,0.0,20.5,40.3,2,21.52,4.59
2023-05-19,27.2,18.0,23.0,0.0,0.0,0.0,14.6,31.3,110,24.94,5.04
2023-05-20,26.9,20.4,23.5,0.2,0.2,0.0,13.6,28.8,117,10.17,2.46
2023-05-21,27.5,18.4,24.2,5.7,5.7,0.0,20.5,34.6,81,14.04,3.35
2023-05-22,21.1,14.8,17.6,6.7,6.7,0.0,30.7,54.7,347,8.78,2.5
2023-05-23,24.4,12.9,20.0,0.5,0.5,0.0,15.6,32.8,101,24.59,5.13
2023-05-24,21.5,15.3,18.4,14.6,14.6,0.0,20.3,40.0,100,13.82,2.71
2023-05-25,27.5,16.2,22.1,0.0,0.0,0.0,13.3,25.9,134,24.26,4.75
2023-05-26,24.5,21.8,23.2,15.1,15.1,0.0,18.5,36.7,135,10.31,2.06
2023-05-27,30.2,22.2,25.5,1.6,1.6,0.0,17.8,35.6,156,16.91,3.41
2023-05-28,32.3,24.9,27.5,18.4,18.4,0.0,14.3,32.0,195,18.64,3.96
2023-05-29,29.8,23.2,26.2,0.7,0.7,0.0,13.1,27.7,354,14.99,3.29
2023-05-30,26.5,21.5,23.6,0.4,0.4,0.0,14.5,28.1,8,10.17,2.4
2023-05-31,27.0,19.8,23.8,0.3,0.3,0.0,9.0,20.9,37,15.53,3.24
2023-06-01,29.5,20.4,25.3,0.1,0.1,0.0,11.6,25.2,28,23.37,4.94
2023-06-02,32.9,20.5,27.3,0.0,0.0,0.0,21.4,38.2,327,24.45,6.08
2023-06-03,28.2,21.0,24.2,0.0,0.0,0.0,13.6,33.1,15,16.13,4.08
2023-06-04,24.0,18.4,21.9,3.8,3.8,0.0,15.1,28.8,51,11.28,2.88
2023-06-05,19.6,17.2,18.3,26.8,26.8,0.0,10.9,28.1,350,4.79,1.1
2023-06-06,26.6,16.5,21.6,0.2,0.2,0.0,9.2,21.2,161,24.9,4.66
2023-06-07,29.6,19.3,24.6,0.0,0.0,0.0,8.7,18.7,191,20.13,4.07
2023-06-08,31.4,20.6,25.9,0.5,0.5,0.0,15.3,29.5,265,25.29,5.38
2023-06-09,34.2,21.5,28.0,0.0,0.0,0.0,12.7,25.2,222,25.43,5.83
2023-06-10,35.0,23.9,28.7,0.0,0.0,0.0,15.9,32.0,210,24.11,5.81
2023-06-11,32.0,21.8,26.7,0.0,0.0,0.0,14.0,28.1,75,23.72,5.47
2023-06-12,30.0,22.3,26.2,0.0,0.0,0.0,14.2,30.6,99,22.18,5.03
2023-06-13,29.4,22.0,25.4,0.2,0.2,0.0,10.5,18.0,21,15.99,3.69
2023-06-14,32.5,19.9,26.1,0.0,0.0,0.0,12.2,23.4,319,25.15,5.77
2023-06-15,33.3,21.9,28.0,0.0,0.0,0.0,11.2,19.4,128,23.25,5.43
2023-06-16,30.5,25.6,27.4,0.0,0.0,0.0,17.0,31.0,132,11.16,3.92
2023-06-17,25.3,22.1,23.8,12.8,12.8,0.0,13.7,29.5,111,7.95,2.06
