date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
1996-05-13,26.5,17.2,21.6,0.1,0.1,0.0,13.4,27.4,96,18.87,4.36
1996-05-14,20.3,18.5,19.3,1.4,1.4,0.0,18.3,27.4,58,3.91,2.39
1996-05-15,20.8,15.9,18.0,3.1,3.1,0.0,17.8,39.2,71,10.64,2.81
1996-05-16,19.9,15.9,17.6,4.5,4.5,0.0,14.8,30.2,78,7.6,1.8
1996-05-17,23.5,17.1,20.0,0.0,0.0,0.0,12.1,24.8,95,11.81,2.51
1996-05-18,24.5,17.9,21.1,0.3,0.3,0.0,11.1,22.7,110,17.68,3.74
1996-05-19,27.4,17.4,22.9,0.0,0.0,0.0,10.6,20.5,230,22.2,4.41
1996-05-20,31.1,17.9,24.7,0.0,0.0,0.0,11.7,23.8,206,27.43,5.78
1996-05-21,31.8,17.9,25.6,0.1,0.1,0.0,14.8,23.4,326,27.99,5.89
1996-05-22,28.8,19.5,24.1,0.0,0.0,0.0,17.7,37.1,94,27.8,6.8
1996-05-23,28.0,19.0,23.2,0.0,0.0,0.0,15.2,31.0,91,25.98,6.08
1996-05-24,28.4,18.3,23.1,0.1,0.1,0.0,13.0,27.7,80,22.76,4.96
1996-05-25,27.1,19.9,22.8,2.7,2.7,0.0,14.1,28.8,101,15.87,3.44
1996-05-26,28.2,18.5,23.7,0.0,0.0,0.0,14.1,25.6,122,26.81,5.5
1996-05-27,26.7,18.5,21.9,0.0,0.0,0.0,17.6,32.8,67,18.99,3.9
1996-05-28,24.7,17.7,21.5,0.4,0.4,0.0,11.4,24.5,65,15.27,3.17
1996-05-29,26.7,17.9,22.2,0.0,0.0,0.0,11.9,26.3,91,22.96,4.62
1996-05-30,27.6,18.2,23.1,0.0,0.0,0.0,13.7,28.1,94,21.27,4.54
1996-05-31,26.9,20.3,23.5,0.7,0.7,0.0,16.2,30.2,93,13.66,3.23
1996-06-01,27.0,20.0,23.8,0.1,0.1,0.0,16.6,33.1,89,10.69,2.74
1996-06-02,28.1,21.8,25.1,2.1,2.1,0.0,12.3,29.9,140,14.03,3.04
1996-06-03,26.3,23.2,24.5,26.0,26.0,0.0,10.5,23.8,80,7.71,1.64
1996-06-04,23.5,17.4,20.7,19.0,19.0,0.0,23.9,44.3,63,4.13,1.31
1996-06-05,22.6,16.1,18.9,37.9,37.9,0.0,21.9,37.4,70,12.21,2.57
